STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,MONTH,DAY_WEEK,ROUTE,MAN_COLL,DRUNK_DR,FATALS
California,62216,1,1,0,1,July,Wednesday,1,0,0,1
California,62217,1,1,0,0,June,Thrusday,9,0,0,1
California,62218,2,2,0,0,December,Saturday,1,1,0,1
California,62219,3,3,0,0,October,Sunday,3,1,1,1
California,62220,1,1,0,0,December,Monday,9,0,1,1
California,62221,1,1,0,0,November,Thrusday,9,0,0,1
California,62222,2,2,0,0,August,Friday,3,11,0,2
California,62223,2,2,0,0,October,Thrusday,1,1,0,1
California,62224,2,2,0,0,September,Monday,2,2,0,1
California,62225,1,1,0,0,September,Tuesday,1,0,0,1
California,62226,2,2,0,1,September,Monday,3,0,0,1
California,62227,4,4,0,0,July,Tuesday,3,7,0,1
California,62228,2,2,0,0,October,Wednesday,9,6,0,1
California,62229,2,2,0,0,May,Monday,9,2,1,1
California,62230,1,1,0,0,October,Thrusday,9,0,0,1
California,62231,1,1,0,0,November,Saturday,9,0,1,1
California,62232,1,1,0,0,July,Tuesday,9,0,0,1
California,62233,2,2,0,0,October,Wednesday,9,2,0,1
California,62234,1,1,0,0,September,Tuesday,9,0,0,1
California,62235,3,3,0,0,May,Tuesday,6,2,1,2
California,62236,2,2,0,0,October,Wednesday,3,8,0,1
California,62237,2,1,1,0,December,Wednesday,1,0,1,1
California,62238,2,2,0,0,November,Wednesday,3,6,0,1
California,62239,1,1,0,0,November,Saturday,1,0,0,1
California,62240,1,1,0,0,November,Wednesday,3,0,1,1
California,62241,3,3,0,1,October,Monday,9,0,0,1
California,62242,5,5,0,0,March,Monday,9,1,0,1
California,62243,1,1,0,0,October,Friday,1,0,0,1
California,62244,2,2,0,0,October,Friday,9,2,0,1
California,62245,1,1,0,0,August,Thrusday,1,0,0,1
California,62246,1,1,0,0,November,Friday,9,0,0,1
California,62247,3,3,0,0,November,Friday,9,1,0,1
California,62248,2,1,1,0,September,Saturday,3,0,0,2
California,62249,1,1,0,0,November,Sunday,1,0,0,1
California,62250,2,2,0,1,October,Thrusday,9,1,0,1
California,62251,2,2,0,0,July,Friday,3,1,0,1
California,62252,2,1,1,0,July,Thrusday,1,0,1,1
California,62253,1,1,0,1,April,Sunday,1,0,0,1
California,62254,1,1,0,0,July,Wednesday,1,0,1,1
California,62255,2,2,0,0,August,Monday,1,1,1,1
California,62256,1,1,0,0,November,Saturday,3,0,0,1
California,62257,1,1,0,1,July,Sunday,9,0,0,1
California,62258,1,1,0,0,September,Thrusday,3,0,0,1
California,62259,2,2,0,0,July,Wednesday,3,2,0,1
California,62260,2,2,0,0,October,Tuesday,3,7,0,1
California,62261,2,2,0,0,September,Sunday,3,2,0,1
California,62262,10,10,0,0,August,Thrusday,1,2,0,3
California,62263,2,2,0,0,December,Sunday,1,1,1,1
California,62264,2,2,0,0,August,Wednesday,2,2,2,2
California,62265,3,3,0,0,September,Sunday,3,2,0,1
California,62266,1,1,0,0,November,Wednesday,9,0,0,1
California,62267,1,1,0,0,October,Thrusday,9,0,0,1
California,62268,1,1,0,0,November,Friday,9,0,0,1
California,62269,2,2,0,0,October,Friday,3,2,0,1
California,62270,1,1,0,1,November,Friday,1,0,0,1
California,62271,2,2,0,2,December,Friday,3,6,0,1
California,62272,1,1,0,0,November,Wednesday,3,0,1,1
California,62273,1,1,0,0,October,Saturday,1,0,0,1
California,62274,1,1,0,1,December,Tuesday,9,0,0,1
California,62275,1,1,0,1,October,Tuesday,9,0,0,1
California,62276,1,1,0,1,November,Tuesday,9,0,0,1
California,62277,2,2,0,0,October,Sunday,9,6,0,1
California,62278,1,1,0,1,November,Saturday,3,0,0,1
California,62279,2,1,1,1,November,Tuesday,9,0,1,2
California,62280,1,1,0,1,December,Sunday,4,0,1,1
California,62281,2,1,1,0,November,Thrusday,1,0,0,4
California,62282,1,1,0,0,November,Saturday,3,0,0,1
California,62283,1,1,0,1,December,Friday,1,0,0,1
California,62284,1,1,0,1,November,Tuesday,9,0,0,1
California,62285,1,1,0,1,November,Thrusday,9,0,0,1
California,62286,2,2,0,0,February,Sunday,3,6,1,1
California,62287,1,1,0,1,November,Thrusday,9,0,0,1
California,62288,4,4,0,0,July,Saturday,9,1,0,1
California,62289,1,1,0,1,February,Thrusday,9,0,0,1
California,62290,1,1,0,1,October,Thrusday,2,0,0,1
California,62291,3,3,0,0,December,Friday,3,6,0,2
California,62292,3,3,0,0,December,Monday,9,2,0,2
California,62293,1,1,0,1,November,Sunday,3,0,0,1
California,62294,2,2,0,0,December,Saturday,3,6,0,1
California,62295,2,2,0,0,December,Monday,3,0,0,1
California,62296,1,1,0,1,March,Friday,2,0,0,1
California,62297,2,2,0,0,June,Thrusday,1,2,1,2
California,62298,1,1,0,0,November,Monday,1,0,0,1
